,IATA_CODE,AIRPORT,CITY,STATE,COUNTRY
227,ONT,Ontario International Airport,Ontario,CA,USA
228,ORD,Chicago O'Hare International Airport,Chicago,IL,USA
229,ORF,Norfolk International Airport,Norfolk,VA,USA
230,ORH,Worcester Regional Airport,Worcester,MA,USA
231,OTH,Southwest Oregon Regional Airport (North Bend Municipal),North Bend,OR,USA
232,OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,USA
233,PAH,Barkley Regional Airport,Paducah,KY,USA
234,PBG,Plattsburgh International Airport,Plattsburgh,NY,USA
235,PBI,Palm Beach International Airport,West Palm Beach,FL,USA
236,PDX,Portland International Airport,Portland,OR,USA
237,PHF,Newport News/Williamsburg International Airport,Newport News,VA,USA
238,PHL,Philadelphia International Airport,Philadelphia,PA,USA
239,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA
240,PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,USA
241,PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,USA
242,PIH,Pocatello Regional Airport,Pocatello,ID,USA
243,PIT,Pittsburgh International Airport,Pittsburgh,PA,USA
244,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,USA
245,PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL,USA
246,PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,USA
247,PSC,Tri-Cities Airport,Pasco,WA,USA
248,PSE,Mercedita Airport,Ponce,PR,USA
249,PSG,Petersburg James A. Johnson Airport,Petersburg,AK,USA
250,PSP,Palm Springs International Airport,Palm Springs,CA,USA
251,PUB,Pueblo Memorial Airport,Pueblo,CO,USA
252,PVD,Theodore Francis Green State Airport,Providence,RI,USA
253,PWM,Portland International Jetport,Portland,ME,USA
254,RAP,Rapid City Regional Airport,Rapid City,SD,USA
255,RDD,Redding Municipal Airport,Redding,CA,USA
256,RDM,Redmond Municipal Airport (Roberts Field),Redmond,OR,USA
257,RDU,Raleigh-Durham International Airport,Raleigh,NC,USA
258,RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,USA
259,RIC,Richmond International Airport,Richmond,VA,USA
260,RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY,USA
261,RNO,Reno/Tahoe International Airport,Reno,NV,USA
262,ROA,Roanoke Regional Airport (Woodrum Field),Roanoke,VA,USA
263,ROC,Greater Rochester International Airport,Rochester,NY,USA
264,ROW,Roswell International Air Center,Roswell,NM,USA
265,RST,Rochester International Airport,Rochester,MN,USA
266,RSW,Southwest Florida International Airport,Ft. Myers,FL,USA
267,SAF,Santa Fe Municipal Airport,Santa Fe,NM,USA
268,SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,USA
269,SAT,San Antonio International Airport,San Antonio,TX,USA
270,SAV,Savannah/Hilton Head International Airport,Savannah,GA,USA
271,SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,USA
272,SBN,South Bend International Airport (South Bend Regional),South Bend,IN,USA
273,SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,USA
274,SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,AK,USA
275,SCE,University Park Airport,State College,PA,USA
276,SDF,Louisville International Airport (Standiford Field),Louisville,KY,USA
277,SEA,Seattle-Tacoma International Airport,Seattle,WA,USA
278,SFO,San Francisco International Airport,San Francisco,CA,USA
279,SGF,Springfield-Branson National Airport,Springfield,MO,USA
280,SGU,St. George Regional Airport,St George,UT,USA
281,SHV,Shreveport Regional Airport,Shreveport,LA,USA
282,SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,USA
283,SJC,Norman Y. Mineta San José International Airport,San Jose,CA,USA
